"Time [s]"	[A*]	[B*]	PADP
3710	2.27	7.33	1
3720	2.26	7.31	1
3730	2.26	7.3	1
3740	2.26	7.28	1
3750	2.25	7.27	1
3760	2.25	7.25	1
3770	2.25	7.23	1
3770	2.24	7.22	1
3780	2.24	7.2	1
3790	2.23	7.19	1
3800	2.23	7.18	1
3810	2.23	7.16	1
3820	2.22	7.15	1
3830	2.22	7.13	1
3840	2.22	7.12	1
3850	2.21	7.1	1
3860	2.21	7.09	1
3860	2.21	7.07	1
3870	2.2	7.06	1
3880	2.2	7.05	1
3890	2.19	7.03	1
3900	2.19	7.02	1
3910	2.19	7.01	1
3920	2.18	6.99	1
3930	2.18	6.98	1
3940	2.18	6.97	1
3950	2.17	6.95	1
3950	2.17	6.94	1
3960	2.17	6.93	1
3970	2.16	6.91	1
3980	2.16	6.9	1
3990	2.15	6.89	1
4000	2.15	6.88	1
4010	2.15	6.86	1
4020	2.14	6.85	1
4030	2.14	6.84	1
4040	2.14	6.83	1
4050	2.13	6.82	1
4050	2.13	6.8	1
4060	2.13	6.79	1
4070	2.12	6.78	1
4080	2.12	6.77	1
4090	2.12	6.76	1
4100	2.11	6.75	1
4110	2.11	6.73	1
4120	2.1	6.72	1
4130	2.1	6.71	1
4140	2.1	6.7	1
4140	2.09	6.69	1
4150	2.09	6.68	1
4160	2.09	6.67	1
4170	2.08	6.66	1
4180	2.08	6.65	1
4190	2.08	6.63	1
4200	2.07	6.62	1
4210	2.07	6.61	1
4220	2.07	6.6	1
4230	2.06	6.59	1
4230	2.06	6.58	1
4240	2.06	6.57	1
4250	2.05	6.56	1
4260	2.05	6.55	1
4270	2.05	6.54	1
4280	2.04	6.53	1
4290	2.04	6.52	1
4300	2.04	6.51	1
4310	2.03	6.5	1
4320	2.03	6.49	1
4320	2.03	6.48	1
4330	2.02	6.47	1
4340	2.02	6.46	1
4350	2.02	6.46	1
4360	2.01	6.45	1
4370	2.01	6.44	1
4380	2.01	6.43	1
4390	2	6.42	1
4400	2	6.41	1
4410	2	6.4	1
4410	1.99	6.39	1
4420	1.99	6.38	1
4430	1.99	6.37	1
4440	1.98	6.37	1
4450	1.98	6.36	1
4460	1.98	6.35	1
4470	1.97	6.34	1
4480	1.97	6.33	1
4490	1.97	6.32	1
4500	1.96	6.31	1
4500	1.96	6.31	1
4510	1.96	6.3	1
4520	1.95	6.29	1
4530	1.95	6.28	1
4540	1.95	6.27	1
4550	1.94	6.27	1
4560	1.94	6.26	1
4570	1.94	6.25	1
4580	1.93	6.24	1
4590	1.93	6.23	1
4590	1.93	6.23	1
4600	1.92	6.22	1
4610	1.92	6.21	1
4620	1.92	6.2	1
4630	1.91	6.2	1
4640	1.91	6.19	1
4650	1.91	6.18	1
4660	1.9	6.17	1
4670	1.9	6.17	1
4680	1.9	6.16	1
4680	1.9	6.15	1
4690	1.89	6.15	1
4700	1.89	6.14	1
4710	1.89	6.13	1
4720	1.88	6.12	1
4730	1.88	6.12	1
4740	1.88	6.11	1
4750	1.87	6.1	1
4760	1.87	6.1	1
4770	1.87	6.09	1
4770	1.86	6.08	1
4780	1.86	6.08	1
4790	1.86	6.07	1
4800	1.85	6.06	1
4810	1.85	6.06	1
4820	1.85	6.05	1
4830	1.85	6.05	1
4840	1.84	6.04	1
4850	1.84	6.03	1
4860	1.84	6.03	1
4860	1.83	6.02	1
4870	1.83	6.01	1
4880	1.83	6.01	1
4890	1.82	6	1
4900	1.82	6	1
4910	1.82	5.99	1
4920	1.81	5.98	1
4930	1.81	5.98	1
4940	1.81	5.97	1
4950	1.81	5.97	1
4950	1.8	5.96	1
4960	1.8	5.96	1
4970	1.8	5.95	1
4980	1.79	5.94	1
4990	1.79	5.94	1
5000	1.79	5.93	1
5010	1.78	5.93	1
5020	1.78	5.92	1
5030	1.78	5.92	1
5040	1.78	5.91	1
5050	1.77	5.91	1
5050	1.77	5.9	1
5060	1.77	5.9	1
5070	1.76	5.89	1
5080	1.76	5.88	1
5090	1.76	5.88	1
5100	1.76	5.87	1
5110	1.75	5.87	1
5120	1.75	5.86	1
5130	1.75	5.86	1
5140	1.74	5.85	1
5140	1.74	5.85	1
5150	1.74	5.84	1
5160	1.73	5.84	1
5170	1.73	5.83	1
5180	1.73	5.83	1
5190	1.73	5.83	1
5200	1.72	5.82	1
5210	1.72	5.82	1
5220	1.72	5.81	1
5230	1.71	5.81	1
5230	1.71	5.8	1
5240	1.71	5.8	1
5250	1.71	5.79	1
5260	1.7	5.79	1
5270	1.7	5.78	1
5280	1.7	5.78	1
5290	1.69	5.77	1
5300	1.69	5.77	1
5310	1.69	5.77	1
5320	1.69	5.76	1
5320	1.68	5.76	1
5330	1.68	5.75	1
5340	1.68	5.75	1
5350	1.68	5.74	1
5360	1.67	5.74	1
5370	1.67	5.74	1
5380	1.67	5.73	1
5390	1.66	5.73	1
5400	1.66	5.72	1
5410	1.66	5.72	1
5410	1.66	5.72	1
5420	1.65	5.71	1
5430	1.65	5.71	1
5440	1.65	5.7	1
5450	1.64	5.7	1
5460	1.64	5.7	1
5470	1.64	5.69	1
5480	1.64	5.69	1
5490	1.63	5.69	1
5500	1.63	5.68	1
5500	1.63	5.68	1
5510	1.63	5.67	1
5520	1.62	5.67	1
5530	1.62	5.67	1
5540	1.62	5.66	1
5550	1.61	5.66	1
5560	1.61	5.66	1
5570	1.61	5.65	1
5580	1.61	5.65	1
5590	1.6	5.65	1
5590	1.6	5.64	1
5600	1.6	5.64	1
5610	1.6	5.63	1
5620	1.59	5.63	1
5630	1.59	5.63	1
5640	1.59	5.62	1
5650	1.59	5.62	1
5660	1.58	5.62	1
5670	1.58	5.61	1
5680	1.58	5.61	1
5680	1.58	5.61	1
5690	1.57	5.6	1
5700	1.57	5.6	1
5710	1.57	5.6	1
5720	1.56	5.6	1
5730	1.56	5.59	1
5740	1.56	5.59	1
5750	1.56	5.59	1
5760	1.55	5.58	1
5770	1.55	5.58	1
5770	1.55	5.58	1
5780	1.55	5.57	1
5790	1.54	5.57	1
5800	1.54	5.57	1
5810	1.54	5.56	1
5820	1.54	5.56	1
5830	1.53	5.56	1
5840	1.53	5.56	1
5850	1.53	5.55	1
5860	1.53	5.55	1
5860	1.52	5.55	1
5870	1.52	5.54	1
5880	1.52	5.54	1
5890	1.52	5.54	1
5900	1.51	5.54	1
5910	1.51	5.53	1
5920	1.51	5.53	1
5930	1.51	5.53	1
5940	1.5	5.53	1
5950	1.5	5.52	1
5950	1.5	5.52	1
5960	1.5	5.52	1
5970	1.49	5.51	1
5980	1.49	5.51	1
5990	1.49	5.51	1
6000	1.49	5.51	1
6010	1.48	5.5	1
6020	1.48	5.5	1
6030	1.48	5.5	1
6040	1.48	5.5	1
6050	1.47	5.49	1
6050	1.47	5.49	1
6060	1.47	5.49	1
6070	1.47	5.49	1
6080	1.46	5.48	1
6090	1.46	5.48	1
6100	1.46	5.48	1
6110	1.46	5.48	1
6120	1.45	5.48	1
6130	1.45	5.47	1
6140	1.45	5.47	1
6140	1.45	5.47	1
6150	1.44	5.47	1
6160	1.44	5.46	1
6170	1.44	5.46	1
6180	1.44	5.46	1
6190	1.43	5.46	1
6200	1.43	5.45	1
6210	1.43	5.45	1
6220	1.43	5.45	1
6230	1.43	5.45	1
6230	1.42	5.45	1
6240	1.42	5.44	1
6250	1.42	5.44	1
6260	1.42	5.44	1
6270	1.41	5.44	1
6280	1.41	5.44	1
6290	1.41	5.43	1
6300	1.41	5.43	1
6310	1.4	5.43	1
6320	1.4	5.43	1
6320	1.4	5.43	1
6330	1.4	5.42	1
6340	1.39	5.42	1
6350	1.39	5.42	1
6360	1.39	5.42	1
6370	1.39	5.42	1
6380	1.39	5.41	1
6390	1.38	5.41	1
6400	1.38	5.41	1
6410	1.38	5.41	1
6410	1.38	5.41	1
6420	1.37	5.4	1
6430	1.37	5.4	1
6440	1.37	5.4	1
6450	1.37	5.4	1
6460	1.36	5.4	1
6470	1.36	5.39	1
6480	1.36	5.39	1
6490	1.36	5.39	1
6500	1.36	5.39	1
6500	1.35	5.39	1
6510	1.35	5.39	1
6520	1.35	5.38	1
6530	1.35	5.38	1
6540	1.34	5.38	1
6550	1.34	5.38	1
6560	1.34	5.38	1
6570	1.34	5.38	1
6580	1.34	5.37	1
6590	1.33	5.37	1
6590	1.33	5.37	1
6600	1.33	5.37	1
6610	1.33	5.37	1
6620	1.32	5.37	1
6630	1.32	5.36	1
6640	1.32	5.36	1
6650	1.32	5.36	1
6660	1.32	5.36	1
6670	1.31	5.36	1
6680	1.31	5.36	1
6680	1.31	5.35	1
6690	1.31	5.35	1
6700	1.3	5.35	1
6710	1.3	5.35	1
6720	1.3	5.35	1
6730	1.3	5.35	1
6740	1.3	5.34	1
6750	1.29	5.34	1
6760	1.29	5.34	1
6770	1.29	5.34	1
6770	1.29	5.34	1
6780	1.29	5.34	1
6790	1.28	5.34	1
6800	1.28	5.33	1
6810	1.28	5.33	1
6820	1.28	5.33	1
6830	1.27	5.33	1
6840	1.27	5.33	1
6850	1.27	5.33	1
6860	1.27	5.33	1
6860	1.27	5.32	1
6870	1.26	5.32	1
6880	1.26	5.32	1
6890	1.26	5.32	1
6900	1.26	5.32	1
6910	1.26	5.32	1
6920	1.25	5.32	1
6930	1.25	5.32	1
6940	1.25	5.31	1
6950	1.25	5.31	1
6950	1.25	5.31	1
6960	1.24	5.31	1
6970	1.24	5.31	1
6980	1.24	5.31	1
6990	1.24	5.31	1
7000	1.24	5.3	1
7010	1.23	5.3	1
7020	1.23	5.3	1
7030	1.23	5.3	1
7040	1.23	5.3	1
7050	1.22	5.3	1
7050	1.22	5.3	1
7060	1.22	5.3	1
7070	1.22	5.3	1
7080	1.22	5.29	1
7090	1.21	5.29	1
7100	1.21	5.29	1
7110	1.21	5.29	1
7120	1.21	5.29	1
7130	1.21	5.29	1
7140	1.2	5.29	1
7140	1.2	5.29	1
7150	1.2	5.28	1
7160	1.2	5.28	1
7170	1.2	5.28	1
7180	1.19	5.28	1
7190	1.19	5.28	1
7200	1.19	5.28	1
7210	1.19	5.28	1
7220	1.19	5.28	1
7230	1.18	5.28	1
7230	1.18	5.27	1
7240	1.18	5.27	1
7250	1.18	5.27	1
7260	1.18	5.27	1
7270	1.17	5.27	1
7280	1.17	5.27	1
7290	1.17	5.27	1
7300	1.17	5.27	1
7310	1.17	5.27	1
7320	1.17	5.27	1
7320	1.16	5.26	1
7330	1.16	5.26	1
7340	1.16	5.26	1
7350	1.16	5.26	1
7360	1.16	5.26	1
7370	1.15	5.26	1
7380	1.15	5.26	1
7390	1.15	5.26	1
7400	1.15	5.26	1
7410	1.15	5.26	1
7410	1.14	5.25	1
7420	1.14	5.25	1
7430	1.14	5.25	1
7440	1.14	5.25	1
7450	1.14	5.25	1
7460	1.13	5.25	1
7470	1.13	5.25	1
7480	1.13	5.25	1
7490	1.13	5.25	1
7500	1.13	5.25	1
7500	1.13	5.24	1
7510	1.12	5.24	1
7520	1.12	5.24	1
7530	1.12	5.24	1
7540	1.12	5.24	1
7550	1.12	5.24	1
7560	1.11	5.24	1
7570	1.11	5.24	1
7580	1.11	5.24	1
7590	1.11	5.24	1
7590	1.11	5.24	1
7600	1.1	5.23	1
7610	1.1	5.23	1
7620	1.1	5.23	1
7630	1.1	5.23	1
7640	1.1	5.23	1
7650	1.1	5.23	1
7660	1.09	5.23	1
7670	1.09	5.23	1
7680	1.09	5.23	1
7680	1.09	5.23	1
7690	1.09	5.23	1
7700	1.08	5.23	1
7710	1.08	5.22	1
7720	1.08	5.22	1
7730	1.08	5.22	1
7740	1.08	5.22	1
7750	1.08	5.22	1
7760	1.07	5.22	1
7770	1.07	5.22	1
7770	1.07	5.22	1
7780	1.07	5.22	1
7790	1.07	5.22	1
7800	1.06	5.22	1
7810	1.06	5.22	1
7820	1.06	5.22	1
7830	1.06	5.21	1
7840	1.06	5.21	1
7850	1.06	5.21	1
7860	1.05	5.21	1
7860	1.05	5.21	1
7870	1.05	5.21	1
7880	1.05	5.21	1
7890	1.05	5.21	1
7900	1.05	5.21	1
7910	1.04	5.21	1
7920	1.04	5.21	1
7930	1.04	5.21	1
